room_type,neighbourhood,minimum_nights,calculated_host_listings_count,availability_365,price
1,30,5,1,0,66
0,7,1,1,0,150
1,12,3,1,31,153
2,6,3,1,38,90
1,7,2,1,284,399
1,7,3,2,4,168
0,56,1,3,357,70
1,19,5,2,316,390
1,7,30,121,364,350
1,1,2,4,229,450
1,43,2,327,350,228
1,19,1,1,365,450
1,75,5,1,23,98
1,45,2,1,0,100
0,6,2,4,301,49
0,37,3,10,172,47
0,77,1,1,0,80
1,28,2,1,172,99
0,15,2,1,224,35
0,30,2,2,44,55
0,12,3,1,0,45
0,13,8,5,280,68
1,23,1,1,213,250
1,20,3,1,0,85
0,2,3,1,362,100
1,37,1,1,0,39
1,3,1,1,0,125
1,14,2,1,74,299
1,52,5,1,9,230
0,7,1,1,43,100
0,2,1,1,180,69
1,37,30,15,232,85
1,2,6,1,332,100
0,14,2,1,0,100
1,12,2,1,0,150
0,22,1,1,0,60
0,18,3,1,320,99
1,38,3,1,33,255
1,53,3,1,33,260
1,6,3,1,242,179
1,22,3,1,5,90
1,68,2,1,304,400
1,6,4,3,205,230
1,24,3,2,0,130
0,7,1,1,23,100
1,10,5,1,0,225
0,19,7,1,0,90
0,6,2,1,94,64
0,21,2,5,0,45
1,22,3,1,157,90
0,3,1,1,0,75
1,64,2,1,0,250
2,54,30,7,365,27
1,14,2,1,50,175
0,12,7,1,0,35
1,5,2,327,125,282
0,6,2,1,0,57
1,41,3,1,39,175
1,15,1,1,276,120
1,11,2,1,0,157
1,16,3,2,191,480
1,15,13,1,74,90
0,12,21,1,0,73
1,19,8,1,0,179
0,28,1,4,142,99
0,23,1,3,0,150
0,49,1,1,363,73
0,12,1,1,0,60
1,129,5,2,0,170
0,7,7,47,271,100
0,1,1,1,0,70
1,13,3,1,0,175
1,29,3,1,129,170
1,3,2,1,0,73
0,3,7,1,0,70
1,5,30,50,364,195
1,28,30,15,225,99
1,6,3,2,274,165
0,19,1,2,329,145
1,20,4,1,0,250
1,12,1,2,27,74
0,4,1,1,34,89
0,20,7,1,0,50
1,43,29,327,341,137
1,8,6,1,108,400
1,20,2,1,241,150
0,11,1,2,32,139
0,23,10,1,0,90
0,103,1,4,207,38
0,7,1,2,332,300
0,21,1,1,64,33
1,20,7,1,0,150
1,8,1,1,27,150
1,178,2,2,321,200
1,8,2,1,0,149
0,107,1,1,0,31
1,8,1,2,0,599
0,30,1,1,12,90
1,6,3,1,0,119
0,21,7,1,54,88
1,43,30,96,312,175
1,15,2,1,0,100
0,12,7,1,0,70
0,21,5,1,0,70
0,6,1,1,0,45
1,68,30,52,342,150
1,123,1,1,0,125
0,63,1,2,0,59
1,19,7,1,0,170
0,6,1,1,171,60
0,4,1,2,179,120
1,30,1,1,79,1000
0,12,4,1,0,70
0,2,3,1,362,65
1,5,29,327,330,212
1,29,21,1,221,105
1,54,1,1,18,85
1,6,3,2,285,179
1,193,2,6,125,99
0,84,4,1,0,30
0,21,1,1,89,75
1,19,3,1,0,199
0,21,2,2,0,55
0,12,2,2,337,91
2,23,14,28,341,32
0,19,1,1,0,130
1,16,5,1,0,150
0,3,4,2,0,90
0,19,1,1,0,90
1,23,3,1,0,275
1,79,2,1,90,110
0,36,30,1,179,1750
2,8,1,4,77,60
1,23,3,1,0,185
1,7,5,1,15,200
0,21,4,1,189,55
1,28,10,1,21,100
1,56,6,1,19,160
1,21,3,1,0,100
0,2,30,7,361,89
1,19,2,1,0,200
0,2,1,1,19,60
1,28,9,1,0,150
1,109,5,1,299,150
1,43,2,327,330,404
1,16,1,2,130,165
0,86,4,8,290,34
0,71,1,1,3,110
0,0,1,1,31,67
1,37,2,1,115,80
0,100,2,4,176,59
0,6,2,5,167,58
0,21,1,2,0,54
1,11,15,2,89,199
1,102,30,52,365,130
1,54,1,4,270,135
1,26,30,23,353,200
1,12,30,1,222,80
0,23,1,3,0,109
1,11,3,1,16,250
0,71,4,1,33,85
1,92,2,1,318,120
2,111,2,4,87,35
0,4,1,1,94,60
0,54,1,2,0,70
1,52,4,1,0,200
0,21,1,2,178,58
1,126,3,1,331,89
1,12,1,1,8,192
1,81,1,2,122,165
1,17,1,2,0,250
0,21,1,1,0,85
1,28,2,1,345,235
1,13,3,1,0,175
1,39,3,1,3,115
1,17,1,3,246,61
0,152,1,6,365,95
0,21,3,1,0,120
0,26,14,1,283,110
0,37,1,1,205,40
0,70,3,1,2,35
1,12,5,3,31,300
0,7,4,1,188,81
1,2,3,1,0,80
1,18,1,1,3,70
2,8,3,2,88,139
1,14,1,1,0,300
1,52,3,1,188,180
0,45,6,2,251,107
0,15,5,2,0,50
0,7,2,1,78,130
1,4,1,3,321,150
0,13,2,2,331,95
0,63,1,5,183,70
0,212,1,1,179,65
0,6,1,1,0,60
1,68,30,2,333,1100
0,12,3,1,19,99
0,49,1,4,353,52
0,28,3,1,203,110
0,103,1,5,87,60
1,6,5,1,0,100
2,12,30,5,341,35
1,23,3,1,9,150
0,127,2,3,70,56
0,6,3,3,5,80
0,53,2,2,0,69
0,12,2,2,0,89
0,197,1,1,90,100
0,70,3,13,365,45
1,82,3,1,161,210
1,11,30,9,332,166
0,81,1,1,0,30
0,63,1,2,1,90
0,46,1,1,0,60
1,54,2,1,33,62
1,2,5,2,39,200
1,1,30,12,365,169
0,4,1,1,0,67
1,68,2,1,194,299
1,28,4,1,335,270
1,8,4,1,0,550
1,15,3,1,332,150
1,10,3,1,6,100
1,7,3,1,73,210
1,28,30,121,297,369
0,21,3,1,12,40
1,20,2,3,5,80
0,56,2,2,0,95
0,84,3,3,302,52
1,12,3,1,32,214
1,8,1,1,53,90
1,6,30,1,302,86
1,27,3,1,0,198
0,79,1,2,357,149
0,2,1,1,365,85
1,212,5,1,244,200
0,6,5,2,189,180
0,2,23,2,35,54
0,129,3,2,178,50
1,150,3,2,58,109
1,7,1,1,0,100
0,30,2,1,55,100
0,15,1,3,361,50
0,61,2,2,0,35
0,1,3,1,0,350
0,21,3,1,112,108
